support,itemsets
0.5877126769758048,frozenset({'buy'})
0.05694846790974744,frozenset({'seed'})
0.05564792525194826,frozenset({'product'})
0.05167999510383941,frozenset({'farm'})
0.017417071279937982,frozenset({'bag'})
0.10671080011424375,frozenset({'pay'})
0.04085233995675058,frozenset({'fee'})
0.014045860704231099,frozenset({'university'})
0.07038740870700559,frozenset({'supply'})
0.057693092333428536,frozenset({'stock'})
0.026245460851115916,frozenset({'fish'})
0.020961687543351423,frozenset({'tuition'})
0.020313966298094576,frozenset({'clothes'})
0.0358745766861153,frozenset({'oil'})
0.021114692561916032,frozenset({'clothing'})
0.015458607042310987,frozenset({'use'})
0.04414704802317516,frozenset({'rice'})
0.034466930515320904,frozenset({'sugar'})
0.2250703823085397,frozenset({'purchase'})
0.08013892855685667,frozenset({'fertilizer'})
0.049548125178505854,frozenset({'increase'})
0.042229385123832064,frozenset({'additional'})
0.017549675629360644,frozenset({'livestock'})
0.10766963156391529,frozenset({'business'})
0.01827899955118528,frozenset({'cow'})
0.049476722836509036,frozenset({'feed'})
0.15971173854502427,frozenset({'sell'})
0.012265902321596148,frozenset({'invest'})
0.031972948712717775,frozenset({'improve'})
0.05763699049328818,frozenset({'good'})
0.028127422579460607,frozenset({'vegetable'})
0.013010526745277246,frozenset({'bread'})
0.012679015871720592,frozenset({'meat'})
0.010705251132237137,frozenset({'dairy'})
0.013061528418132115,frozenset({'fruit'})
0.011643681912766738,frozenset({'variety'})
0.03667020278265127,frozenset({'new'})
0.020145660777673508,frozenset({'home'})
0.034293524827614344,frozenset({'build'})
0.02789791505161369,frozenset({'toilet'})
0.013484842302827533,frozenset({'access'})
0.05510730751968665,frozenset({'material'})
0.025454934921865437,frozenset({'thread'})
0.014688481782202457,frozenset({'raw'})
0.029988983638663348,frozenset({'expand'})
0.02356787302623526,frozenset({'machine'})
0.01579011791586764,frozenset({'sewing'})
0.015280101187318944,frozenset({'cloth'})
0.020288465461667144,frozenset({'income'})
0.025521237096576766,frozenset({'customer'})
0.08272981353788404,frozenset({'family'})
0.02079338202293035,frozenset({'sale'})
0.0125974131951528,frozenset({'animal'})
0.024822514178465052,frozenset({'order'})
